item_id,Title,CurrentPrice,MedianSold,ActiveAvg,SuggestedPrice,Note,UpdateStatus
236138554861,Travis Best 1996-97 SkyBox Z-Force Z-Cling #36 Indiana Pacers,1.95,1.99,1.95,1.95,Browse BIN | Browse BIN | Capped at 1.00× active median | Confidence 1.00,
236138554863,Devin Booker 2021-22 Donruss Optic #142 Phoenix Suns,1.7,1.79,1.58,1.59,Browse BIN | Browse BIN | Capped at 1.00× active median | Confidence 1.00,
236138554864,Michael Jordan 2022 Upper Deck Goodwin Champions #61,1.85,3.74,1.77,1.75,Browse BIN | Browse BIN | Sold>>Active guardrail (possible refractors) | Capped at 1.00× active median | Confidence 1.00,
236138554865,Kobe Bryant 1997-98 SkyBox Z-Force Zupermen #195 Los Angeles Lakers,8.0,10.49,8.0,8.0,Browse BIN | Browse BIN | Capped at 1.00× active median | Confidence 1.00,
236138554867,Glen Rice 1997-98 Finest Catalysts w/Coating #133 Charlotte Hornets,1.69,,,,No solds | No actives | No data,
236138554868,Johnny Taylor 1997-98 Topps New School #NS8 Orlando Magic,1.85,1.99,1.85,1.85,Browse BIN | Browse BIN | Capped at 1.00× active median | Confidence 1.00,
236138554869,Harold Miner 1993-94 Topps #175 Miami Heat,1.65,2.0,1.55,1.55,Browse BIN | Browse BIN | Capped at 1.00× active median | Confidence 1.00,
236138554870,Ayo Dosunmu 2021 Panini Chronicles Draft Picks #199 Illinois Fighting Illini,1.99,2.12,1.99,1.99,Browse BIN | Browse BIN | Capped at 1.00× active median | Confidence 1.00,
236138554871,Jason Williams 1999-00 Flair Showcase #96 Sacramento Kings,2.7,3.13,2.72,2.7,Browse BIN | Browse BIN | Capped at 1.00× active median | Confidence 1.00,
236138554872,Alonzo Mourning 1995-96 Stadium Club #356 Miami Heat,1.65,1.61,1.52,1.5,Browse BIN | Browse BIN | Capped at 1.00× active median | Confidence 1.00,
236138554873,Michael Jordan 1999 Upper Deck Athlete of the Century Jordan Era #JE19 Bulls,17.0,14.99,9.99,10.2,Browse BIN | Browse BIN | Sold>>Active guardrail (possible refractors) | Capped at 1.00× active median | Confidence 1.00,Updated successfully (business policy warning only)
236138554874,Shai Gilgeous-Alexander 2019-20 Panini Chronicles #26 Oklahoma City Thunder,1.9,1.98,1.61,1.6,Browse BIN | Browse BIN | Capped at 1.00× active median | Confidence 1.00,Updated successfully (business policy warning only)
236138554875,Jason Kidd 1995-96 Fleer #325 Dallas Mavericks,1.65,1.75,1.65,1.65,Browse BIN | Browse BIN | Capped at 1.00× active median | Confidence 1.00,
236138554876,Bismack Biyombo 2019-20 Hoops Premium Stock Prizms Gold Pulsar #23 Hornets,8.55,8.55,,8.55,Browse BIN | Browse BIN | No actives | Confidence 0.33,
236138554877,Kobe Bryant 1998-99 Hoops Shout Outs #21 SO Los Angeles Lakers,8.6,9.47,8.24,8.25,Browse BIN | Browse BIN | Capped at 1.00× active median | Confidence 1.00,Updated successfully (business policy warning only)
236138554878,Allen Iverson 2020-21 Panini Mosaic #292 Philadelphia 76ers,1.9,2.64,1.69,1.69,Browse BIN | Browse BIN | Sold>>Active guardrail (possible refractors) | Capped at 1.00× active median | Confidence 1.00,Updated successfully (business policy warning only)
236138554879,Michael Jordan 1999 Upper Deck Athlete of the Century #20 Chicago Bulls,3.45,3.42,2.75,2.75,Browse BIN | Browse BIN | Capped at 1.00× active median | Confidence 1.00,Updated successfully (business policy warning only)
236138554880,Tim Hardaway 1992-93 Fleer Pro Vision #251 Golden State Warriors,1.85,2.4,1.65,1.65,Browse BIN | Browse BIN | Sold>>Active guardrail (possible refractors) | Capped at 1.00× active median | Confidence 1.00,Updated successfully (business policy warning only)
236138554881,Tyrese Haliburton 2021-22 Panini Prizm #196 Sacramento Kings,1.95,2.19,1.75,1.75,Browse BIN | Browse BIN | Capped at 1.00× active median | Confidence 1.00,Updated successfully (business policy warning only)
236138554882,Magic Johnson vs. Michael Jordan 1991-92 Upper Deck #34 NM-MT OR BETTER,3.75,4.14,2.99,2.99,Browse BIN | Browse BIN | Capped at 1.00× active median | Confidence 1.00,Updated successfully (business policy warning only)
335997602340,Donyell Marshall w/Kobe Bryant 1998-99 Metal Universe #26 Golden State Warriors,2.99,2.99,,2.99,Browse BIN | Browse BIN | No actives | Confidence 0.33,
335997602341,Anthony Mason 1996-97 E-X2000 #7 NM-MT OR BETTER Charlotte Hornets,2.99,,,,No solds | No actives | No data,
335997602343,Michael Jordan 1994-95 SP Championship #4 Chicago Bulls,7.8,8.5,4.0,4.68,Browse BIN | Browse BIN | Sold>>Active guardrail (possible refractors) | Capped at 1.00× active median | Confidence 1.00,Updated successfully (business policy warning only)
335997602344,Michael Jordan 2021 Upper Deck Goodwin Champions #1,3.45,2.12,1.75,1.75,Browse BIN | Browse BIN | Capped at 1.00× active median | Confidence 1.00,Updated successfully (business policy warning only)
335997602345,Toni Kukoc 1999-00 Stadium Club Chrome #30 Chicago Bulls,2.35,2.49,1.98,1.99,Browse BIN | Browse BIN | Capped at 1.00× active median | Confidence 1.00,Updated successfully (business policy warning only)
335997602346,Pete Gent 1990 Collegiate Collection Michigan State Spartans #130,1.9,1.9,1.9,1.9,Browse BIN | Browse BIN | Confidence 1.00,
335997602347,Shai Gilgeous-Alexander 2021-22 Panini Prizm #238 Oklahoma City Thunder,2.85,2.73,1.99,1.99,Browse BIN | Browse BIN | Capped at 1.00× active median | Confidence 1.00,Updated successfully (business policy warning only)
