item_id,Title,CurrentPrice,MedianSold,ActiveAvg,SuggestedPrice,SupplyCount,Note,UpdateStatus
335909203062,Len Walterscheid 1981 Topps #128 RC Chicago Bears,1.6,1.99,1.7,1.7,12,Browse BIN | Browse BIN (Tier1) | Active median P1,
335909203063,Jeff Lahti 1986 Topps #33 St. Louis Cardinals,1.5,2.99,1.99,1.9,6,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
335909203064,Harold Reynolds 1987 Donruss #489 Seattle Mariners,1.65,2.345,2.1,2.05,5,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
335909203065,Al Oliver 1982 Fleer #326 Texas Rangers MINT,1.75,3.005,2.99,2.15,8,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
335909203066,Billy Sample 1986 Fleer Update #U-102 Atlanta Braves,1.6,6.755,6.755,2.0,2,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
335909203067,Don Mattingly 1990 Fleer #626 New York Yankees,1.55,3.14,1.8,1.8,15,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
335909203068,Kyle Lewis 2021 Topps 1965 Topps Redux #T65-1 Seattle Mariners,1.8,2.04,2.0,2.0,6,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
335909203069,Gerry Ellis 1981 Topps #291 RC Green Bay Packers,1.7,1.96,1.94,1.95,10,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
335909203070,John Lowenstein 1982 Fleer #169 Baltimore Orioles MINT,1.6,2.99,2.99,2.0,3,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
335909203071,James Jones 1981 Topps #269 RC Dallas Cowboys,1.7,2.37,1.94,1.95,10,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
335909203072,Evan Longoria 2016 Bowman #84 Tampa Bay Rays,1.85,1.8,1.99,1.99,10,Browse BIN | Browse BIN (Tier3) | Active median P1,
335909203073,Checklist: 1-121 1981 Topps #31,1.6,2.49,1.74,1.75,12,Browse BIN | Browse BIN (Tier1) | Active median P1,
335909203074,Wes Chandler 1981 Topps #428 New Orleans Saints,1.6,1.965,1.94,1.95,12,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
335909203075,Joe Montana 2023 Score #178 San Francisco 49ers,1.75,2.05,2.05,2.05,8,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
335909203076,Bernard Pierce 2014 Panini Absolute #57 Baltimore Ravens,2.55,2.685,2.49,2.49,4,Browse BIN | Browse BIN (Tier1) | Active median P1,
335909203077,Roynell Young 1981 Topps #72 RC Philadelphia Eagles,1.7,1.87,1.79,1.79,11,Browse BIN | Browse BIN (Tier1) | Active median P1,
335909203078,Mike Heath 1982 Fleer #91 Oakland Athletics MINT,1.7,2.99,2.99,2.1,5,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
335909203080,Joe Ferguson 1981 Topps #503 Buffalo Bills,1.9,2.99,2.99,2.3,7,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
335909203081,Kurt Bevacqua 1981 Topps #118 Pittsburgh Pirates,1.6,2.99,1.75,1.75,7,Browse BIN | Browse BIN (Tier1) | Active median P1,
335909203082,Jake Stevens 2005 Topps Chrome Updates & Highlights #UH92 Atlanta Braves,3.35,2.28,,2.29,0,Browse BIN | No actives | Sold median P1,Updated successfully (business policy warning only)
335909203083,Greg Buttle 1981 Topps #285 New York Jets,1.7,1.99,1.85,1.85,9,Browse BIN | Browse BIN (Tier1) | Active median P1,
335909203084,Zack Greinke 2019 Topps Chrome #23 Arizona Diamondbacks,1.95,2.79,1.75,1.75,9,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
335909203085,John Denny 1986 Fleer Update #U-34 Cincinnati Reds,1.7,1.7,,1.7,0,Browse BIN | No actives | Sold median P1,
335909203086,Angel Salazar 1986 Fleer Update #U-100 Kansas City Royals,1.6,3.02,3.02,2.0,1,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
335909203087,Sammy Stewart 1981 Donruss #474 Baltimore Orioles,1.5,1.99,1.99,1.9,2,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
335909203088,Ke'Bryan Hayes 2018 Bowman Draft #BD-50 Pittsburgh Pirates,1.85,3.225,1.99,1.99,7,Browse BIN | Browse BIN (Tier1) | Active median P1,
236050505879,Larry Harlow 1982 Fleer #462 California Angels MINT,1.75,2.99,2.99,2.15,1,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236055643289,Michael Jordan 1991-92 Fleer #211 NM-MT OR BETTER Chicago Bulls,2.4,6.6,2.99,2.8,15,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236055643290,Michael Jordan 1990-91 SkyBox #41 Chicago Bulls,3.55,4.04,3.49,3.49,15,Browse BIN | Browse BIN (Tier1) | Active median P1,
236055643292,Michael Jordan 1991-92 Hoops #30 NM-MT OR BETTER Chicago Bulls,4.35,22.89,3.99,3.99,14,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236055643293,Michael Jordan 1992-93 Upper Deck NBA All-Stars #15 NM-MT OR BETTER Bulls,6.4,12.82,12.82,12.8,1,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236055643295,Michael Jordan 1991-92 Hoops McDonald's #55 USA,5.55,5.5,3.5,3.5,14,Browse BIN | Browse BIN (Tier1) | Active median P1,"API 200: <?xml version=""1.0"" encoding=""UTF-8""?>
<ReviseFixedPriceItemResponse xmlns=""urn:ebay:apis:eBLBaseComponents""><Timestamp>2025-11-18T01:03:27.636Z</Timestamp><Ack>Failure</Ack><Errors><ShortMessage>Auction ended.</ShortMessage><LongMessage>You are not allowed to revise ended listings.</LongMessage><Er"
236055643296,Michael Jordan 1991-92 Upper Deck Award Winner Holograms #AW1 Chicago Bulls,11.4,10.98,9.99,9.99,14,Browse BIN | Browse BIN (Tier1) | Active median P1,"API 200: <?xml version=""1.0"" encoding=""UTF-8""?>
<ReviseFixedPriceItemResponse xmlns=""urn:ebay:apis:eBLBaseComponents""><Timestamp>2025-11-18T01:03:31.538Z</Timestamp><Ack>Failure</Ack><Errors><ShortMessage>Auction ended.</ShortMessage><LongMessage>You are not allowed to revise ended listings.</LongMessage><Er"
236055643297,Michael Jordan 1998 Upper Deck Michael Jordan Stickers #82 Chicago Bulls,2.2,2.0,2.0,2.0,13,Browse BIN | Browse BIN (Tier1) | Active median P1,
335914928470,Michael Jordan 1991-92 Hoops #536 NM-MT OR BETTER Chicago Bulls,4.55,13.07,2.48,2.49,15,Browse BIN | Browse BIN (Tier1) | Active median P1,"API 200: <?xml version=""1.0"" encoding=""UTF-8""?>
<ReviseFixedPriceItemResponse xmlns=""urn:ebay:apis:eBLBaseComponents""><Timestamp>2025-11-18T01:03:38.715Z</Timestamp><Ack>Failure</Ack><Errors><ShortMessage>Auction ended.</ShortMessage><LongMessage>You are not allowed to revise ended listings.</LongMessage><Er"
335914928471,Michael Jordan 1992 Ballstreet #NNO NM-MT OR BETTER Chicago Bulls,4.9,4.9,4.9,4.9,9,Browse BIN | Browse BIN (Tier1) | Active median P1,
335914928472,Michael Jordan 1990-91 All-Sports Superstars #NNO Chicago Bulls,4.99,,,,0,No solds | No actives | No data,
335914928473,Michael Jordan 1994-95 Collector Choice Spanish Rare Air Decade of Dominance #J3,4.0,3.98,3.98,3.99,1,Browse BIN | Browse BIN (Tier1) | Active median P1,
335914928474,Michael Jordan 1991-92 Hoops #317 NM-MT OR BETTER Chicago Bulls,4.3,3.89,1.99,1.99,15,Browse BIN | Browse BIN (Tier1) | Active median P1,"API 200: <?xml version=""1.0"" encoding=""UTF-8""?>
<ReviseFixedPriceItemResponse xmlns=""urn:ebay:apis:eBLBaseComponents""><Timestamp>2025-11-18T01:03:52.564Z</Timestamp><Ack>Failure</Ack><Errors><ShortMessage>Auction ended.</ShortMessage><LongMessage>You are not allowed to revise ended listings.</LongMessage><Er"
236055643298,Michael Jordan 1993-94 Topps #101 Check Corners Chicago Bulls,3.5,7.24,3.0,3.0,15,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236055643299,Michael Jordan 1991-92 Upper Deck #69 NM-MT OR BETTER Chicago Bulls,3.5,7.99,2.24,2.25,15,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236055643300,Michael Jordan 1991-92 Fleer Pro-Visions #2 NM-MT OR BETTER (OC) Chicago Bulls,9.1,10.74,8.44,8.45,15,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236055643301,Michael Jordan 1994-95 Collector Choice Italian Rare Air Decade of Dominance #J2,2.99,,,,0,No solds | No actives | No data,
236055643302,Michael Jordan 1991-92 Panini Stickers Gold Foil Rare #190 Chicago Bulls,105.0,82.465,82.465,82.45,2,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236055643303,"Michael Jordan 1990-91 Slam Dunk ""Best of the Best"" #11 Chicago Bulls",4.5,4.495,4.495,4.5,2,Browse BIN | Browse BIN (Tier1) | Active median P1,
236055643304,Michael Jordan 1991-92 Fleer Pro-Visions #2 NM-MT OR BETTER Chicago Bulls,12.75,10.74,8.44,8.45,15,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236055643305,Michael Jordan 1989-90 Hoops #200 Check Corners Chicago Bulls,4.99,11.84,4.95,4.95,15,Browse BIN | Browse BIN (Tier1) | Active median P1,
236055643306,Michael Jordan 1991-92 Hoops McDonald's #55 NM-MT OR BETTER USA,6.75,5.48,3.5,4.05,14,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236055643307,Michael Jordan 1991-92 Hoops #253 NM-MT OR BETTER Chicago Bulls,4.3,15.4,2.99,2.99,15,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236055643308,Bulls Victory Tour '95-96: Win #46 1996-97 Collector's Choice #26 Chicago Bulls,2.99,4.25,1.75,1.75,15,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236055643309,Michael Jordan 1990-91 Hoops #65 Chicago Bulls,5.99,25.43,3.0,3.59,15,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236055643310,Michael Jordan 1994-95 Collector Choice French Rare Air Decade of Dominance #J1,2.99,5.5,5.5,2.99,1,Browse BIN | Browse BIN (Tier1) | Active median P1,
236055643311,Michael Jordan 1991 Tuff Stuff Jr. Special Issue NBA Finals #5 MINT Bulls,6.99,7.44,7.44,7.45,2,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
