item_id,Title,CurrentPrice,MedianSold,ActiveAvg,SuggestedPrice,SupplyCount,Note,UpdateStatus
336066990514,Derek Jeter 1996 Leaf Preferred Steel #40 New York Yankees Legend HOF,21.19,22.28,9.5,12.71,1,Browse BIN | ActiveCache | Active median P1,Updated successfully (business policy warning only)
236204171427,Barry Sanders 1994 SP #158 NM-MT OR BETTER Detroit Lions,2.85,2.495,4.675,4.69,2,Browse BIN | ActiveCache | Active median P1,Updated successfully (business policy warning only)
336067131739,Barry Sanders 1998 Flair Showcase Row 3 #20 NM-MT OR BETTER Detroit Lions,3.55,4.75,3.8,3.8,3,Browse BIN | ActiveCache | Active median P1,
236201120274,Barry Sanders 1993 Ultra Touchdown Kings #7 Detroit Lions,3.65,4.51,4.51,4.5,5,Browse BIN | ActiveCache | Active median P1,Updated successfully (business policy warning only)
236201120264,Barry Sanders 1995 SkyBox Premium Paydirt #PD23 Detroit Lions,4.15,6.24,4.87,4.89,15,Browse BIN | ActiveCache | Active median P1,Updated successfully (business policy warning only)
