item_id,Title,CurrentPrice,MedianSold,ActiveAvg,SuggestedPrice,SupplyCount,Note,UpdateStatus
336079140159,Chuba Hubbard 2022 Donruss Premium Press Proof MINT Gold #238 Carolina Panthers,2.15,1.99,1.98,1.99,16,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=5) | Active median A2",
236279868698,Derek Jeter 1997 Sports Illustrated for Kids #589 New York Yankees HOF Legend,3.25,3.25,3.25,3.25,1,"Browse BIN | Browse (Merged) | Active(A2,k=1) | Sold(A2,n=1) | Active median A2",
336189375978,Joe Montana Checklist: 1-79 1994 Ultra #321,1.75,1.75,1.75,1.75,1,"Browse BIN | Browse (Merged) | Active(A2,k=1) | Sold(A2,n=1) | Active median A2",
336240449809,JuJu Smith-Schuster 2020 Panini Prestige #179 Pittsburgh Steelers,6.21,,1.65,3.73,15,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=2) | Sold dropped (>> actives w/low N) | Active median A2 | Drop capped 40% vs current",Updated successfully (business policy warning only)
236214673471,Dalton Schultz 2022 Donruss Premium Press Proof Gold #152 Dallas Cowboys,1.99,1.99,1.99,1.99,13,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=3) | Active median A2",
335922512320,Ian Gac 2011 Topps Pro Debut Single-A All Stars #SA30 Kannapolis Intimidators,2.35,2.35,2.42,2.4,4,"Browse BIN | Browse (Merged) | Active(A2,k=4) | Sold(A2,n=1) | Active median A2",
236112537250,Shane Panzini 2021 Prizm Draft Picks Green Pulsar Prizm #PDP108,2.25,3.49,2.25,2.25,11,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=3) | Active median A2",
336021074575,Jose Canseco 1990 Fleer #3 Oakland Athletics,1.5,3.04,1.69,1.69,17,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=4) | Active median A2",Updated successfully (business policy warning only)
236214673476,Juan Thornhill 2022 Donruss Premium Press Proof Gold #279 Kansas City Chiefs,1.99,2.08,1.79,1.79,14,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=4) | Active median A2",Updated successfully (business policy warning only)
236279868702,Derek Jeter 2002 Fleer Hot Prospects We're No. 1 Die-Cut #1 WN Yankees,5.5,5.5,5.5,5.5,5,"Browse BIN | Browse (Merged) | Active(A2,k=5) | Sold(A2,n=5) | Active median A2",
