item_id,Title,CurrentPrice,MedianSold,ActiveAvg,SuggestedPrice,SupplyCount,Note,UpdateStatus
236223184696,Derek Jeter 2002 Fleer Tradition Update #U307 New York Yankees Legend HOF,2.5,2.63,2.5,2.5,4,Browse BIN | ActiveCache | Active median P1,
236223184697,Derek Jeter 2004 Fleer Legacy #2 New York Yankees Legend HOF,2.69,2.68,2.68,2.69,3,Browse BIN | ActiveCache | Active median P1,
236223184698,Derek Jeter 2021 Stadium Club Black Foil #76 New York Yankees Legend HOF,4.99,4.99,4.99,4.99,1,Browse BIN | ActiveCache | Active median P1,
236223184699,Derek Jeter 2020 Topps Update 20 Years of The Captain #YOC-01 New York Yankees,1.99,2.495,1.99,1.99,13,Browse BIN | ActiveCache | Active median P1,
236223184700,Derek Jeter 2012 Topps Allen & Ginter What's in a Name? #WIN52 New York Yankees,3.45,3.45,3.45,3.45,9,Browse BIN | ActiveCache | Active median P1,
236223184701,Derek Jeter 2010 Bowman #190 New York Yankees Legend HOF Captain,2.25,2.99,2.24,2.25,9,Browse BIN | ActiveCache | Active median P1,
236223184702,Derek Jeter / Jorge Posada 2007 Topps Gift Sets New York Yankees #NYY42,7.8,,,,0,No solds | No actives | No data,
236223184703,Derek Jeter 2021 Topps Platinum Players Die Cut #PDC-12 New York Yankees,1.99,3.0,1.99,1.99,11,Browse BIN | ActiveCache | Active median P1,
236223184704,Derek Jeter 1998 Pinnacle Field of Vision #185 New York Yankees Legend HOF,3.25,3.2,3.25,3.25,3,Browse BIN | ActiveCache | Active median P1,
236223184705,Derek Jeter 1998 Upper Deck 10th Anniversary Preview #41 New York Yankees,2.5,2.99,2.5,2.5,12,Browse BIN | ActiveCache | Active median P1,
236223184706,Derek Jeter 1994 Bowman #633 New York Yankees Legend HOF,4.74,9.99,5.0,5.0,9,Browse BIN | ActiveCache | Active median P1,
236223184707,Derek Jeter 2002 SP Authentic #39 New York Yankees Legend HOF,2.49,2.94,2.49,2.49,10,Browse BIN | ActiveCache | Active median P1,
236223184708,Derek Jeter 1997 Zenith #17 New York Yankees Legend HOF,2.85,6.63,2.86,2.85,11,Browse BIN | ActiveCache | Active median P1,
236223184709,Derek Jeter 2018 Topps Allen & Ginter #2 New York Yankees Legend HOF,2.35,11.25,2.5,2.5,5,Browse BIN | ActiveCache | Active median P1,
236223184710,Derek Jeter 1998 Score #22 New York Yankees Legend HOF,2.05,3.31,2.04,2.05,11,Browse BIN | ActiveCache | Active median P1,
336086207995,Derek Jeter 2000 Stadium Club #197 New York Yankees Legend HOF,2.0,2.59,1.99,1.99,10,Browse BIN | ActiveCache | Active median P1,
336086207996,Derek Jeter 2001 Upper Deck MVP Super Tools #ST7 New York Yankees,3.25,3.83,3.25,3.25,10,Browse BIN | ActiveCache | Active median P1,
336086207999,Derek Jeter 2003 Topps Total Total Topps #TT22 New York Yankees Legend HOF,5.89,5.89,5.89,5.89,1,Browse BIN | ActiveCache | Active median P1,
336086208000,Derek Jeter 2011 Bowman #145 New York Yankees Legend HOF,1.99,2.25,1.99,1.99,12,Browse BIN | ActiveCache | Active median P1,
336086208001,Derek Jeter / Bernie Williams 2000 Upper Deck Victory #330 New York Yankees,2.35,2.575,2.56,2.55,4,Browse BIN | ActiveCache | Active median P1,
336086208002,Derek Jeter 2021 Topps Allen & Ginter Historical Hits #HH-7 New York Yankees,1.99,1.99,1.99,1.99,8,Browse BIN | ActiveCache | Active median P1,
336086208003,Derek Jeter 2008 Upper Deck Spectrum #63 New York Yankees Legend HOF,2.95,2.975,2.95,2.95,7,Browse BIN | ActiveCache | Active median P1,
336086208004,Derek Jeter 2004 Upper Deck Diamond Collection Pro Sigs #61 New York Yankees,2.5,2.78,2.49,2.49,7,Browse BIN | ActiveCache | Active median P1,
336086208005,Derek Jeter 2022 Topps Gallery #185 New York Yankees Legend HOF,1.69,2.95,1.69,1.69,14,Browse BIN | ActiveCache | Active median P1,
